Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.01     0.00     3470     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.01     0.00     3461     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned int)
  0.00      0.01     0.00     3122     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_end()
  0.00      0.01     0.00     3106     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long const, int> >::operator==(std::_Rb_tree_iterator<std::pair<unsigned long const, int> > const&) const
  0.00      0.01     0.00     3069     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00      0.01     0.00     3067     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.01     0.00     3062     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.01     0.00     3061     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.01     0.00     2803     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.01     0.00     2801     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00     2792     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00     2770     0.00     0.00  void** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<void*>(void* const*, void* const*, void**)
  0.00      0.01     0.00     2717     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.01     0.00     2709     0.00     3.41  std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::find(unsigned long const&)
  0.00      0.01     0.00     2706     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.01     0.00     2693     0.00     3.43  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::find(unsigned long const&)
  0.00      0.01     0.00     2688     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<unsigned long const, int> >*, std::_Rb_tree_node<std::pair<unsigned long const, int> >*, unsigned long const&)
  0.00      0.01     0.00     2530     0.00     0.00  __gnu_cxx::new_allocator<void*>::new_allocator()
  0.00      0.01     0.00     2510     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_begin()
  0.00      0.01     0.00     2371     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_S_key(std::_Rb_tree_node<void*> const*)
  0.00      0.01     0.00     2371     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_S_value(std::_Rb_tree_node<void*> const*)
  0.00      0.01     0.00     2254     0.00     0.00  void std::_Destroy<void**, void*>(void**, void**, std::allocator<void*>&)
  0.00      0.01     0.00     2252     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_M_deallocate(void**, unsigned int)
  0.00      0.01     0.00     2247     0.00     0.00  void std::_Destroy_aux<true>::__destroy<void**>(void**, void**)
  0.00      0.01     0.00     2240     0.00     0.00  void std::_Destroy<void**>(void**, void**)
  0.00      0.01     0.00     2228     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::end()
  0.00      0.01     0.00     2189     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::get_allocator() const
  0.00      0.01     0.00     2187     0.00     0.00  std::allocator<void*>::allocator<std::_Rb_tree_node<void*> >(std::allocator<std::_Rb_tree_node<void*> > const&)
  0.00      0.01     0.00     2177     0.00     0.00  __gnu_cxx::new_allocator<void*>::construct(void**, void* const&)
  0.00      0.01     0.00     2161     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.01     0.00     2160     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.01     0.00     2157     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00     2157     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.01     0.00     2157     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.01     0.00     1997     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >, false>::_S_base(__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >)
  0.00      0.01     0.00     1997     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > > >(__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >)
  0.00      0.01     0.00     1995     0.00     0.00  __gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >::__normal_iterator(void* const* const&)
  0.00      0.01     0.00     1989     0.00     0.00  std::_Rb_tree_iterator<std::pair<void* const, _data_access_log> >::operator==(std::_Rb_tree_iterator<std::pair<void* const, _data_access_log> > const&) const
  0.00      0.01     0.00     1983     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.01     0.00     1973     0.00     0.00  std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::size() const
