Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<_loop_spec_thread, std::allocator<_loop_spec_thread> >::_M_deallocate(_loop_spec_thread*, unsigned int)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<_loop_spec_thread, std::allocator<_loop_spec_thread> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<_loop_spec_thread, std::allocator<_loop_spec_thread> >::_Vector_base()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<_loop_spec_thread, std::allocator<_loop_spec_thread> >::~_Vector_base()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_deallocate(void* (**)(void*), unsigned int)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_M_deallocate(void**, unsigned int)
  0.00      0.00     0.00        2     0.00     0.00  void* (**std::__uninitialized_copy<true>::uninitialized_copy<void* (**)(void*), void* (**)(void*)>(void* (**)(void*), void* (**)(void*), void* (**)(void*)))(void*)
  0.00      0.00     0.00        2     0.00     0.00  void** std::__uninitialized_copy<true>::uninitialized_copy<void**, void**>(void**, void**, void**)
  0.00      0.00     0.00        2     0.00     0.00  std::map<void*, _data_access_log, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::map()
  0.00      0.00     0.00        2     0.00     0.00  std::map<void*, _data_access_log, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::~map()
  0.00      0.00     0.00        2     0.00     0.00  std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::map()
  0.00      0.00     0.00        2     0.00     0.00  std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::~map()
  0.00      0.00     0.00        2     0.00     0.00  std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::vector()
  0.00      0.00     0.00        2     0.00     0.00  std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::~vector()
  0.00      0.00     0.00        2     0.00     0.00  std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::push_back(void* (* const&)(void*))
  0.00      0.00     0.00        2     0.00     0.00  std::vector<void*, std::allocator<void*> >::push_back(void* const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_Rb_tree_impl<std::less<void*>, false>::_M_initialize()
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_Rb_tree_impl<std::less<void*>, false>::_Rb_tree_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_Rb_tree_impl<std::less<void*>, false>::~_Rb_tree_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_M_begin()
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_M_erase(std::_Rb_tree_node<std::pair<void* const, _data_access_log> >*)
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_Rb_tree()
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::~_Rb_tree()
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_Rb_tree_impl<std::less<unsigned long>, false>::_M_initialize()
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_Rb_tree_impl<std::less<unsigned long>, false>::_Rb_tree_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_Rb_tree_impl<std::less<unsigned long>, false>::~_Rb_tree_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_begin()
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_erase(std::_Rb_tree_node<std::pair<unsigned long const, int> >*)
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_Rb_tree()
  0.00      0.00     0.00        2     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::~_Rb_tree()
  0.00      0.00     0.00        2     0.00     0.00  void* (**std::__copy_move_a<false, void* (**)(void*), void* (**)(void*)>(void* (**)(void*), void* (**)(void*), void* (**)(void*)))(void*)
  0.00      0.00     0.00        2     0.00     0.00  void** std::__copy_move_a<false, void**, void**>(void**, void**, void**)
  0.00      0.00     0.00        2     0.00     0.00  void* (**std::__copy_move_a2<false, void* (**)(void*), void* (**)(void*)>(void* (**)(void*), void* (**)(void*), void* (**)(void*)))(void*)
