Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
  0.4            3           10         108        1506         94 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<unsigned long const, int> >*, std::_Rb_tree_node<std::pair<unsigned long const, int> >*, unsigned long const&) 
  0.4        0.509            9         108         108         90 void std::__uninitialized_fill_n_a<_loop_spec_thread*, unsigned int, _loop_spec_thread, _loop_spec_thread>(_loop_spec_thread*, unsigned int, _loop_spec_thread const&, std::allocator<_loop_spec_thread>&) 
  0.4        0.497            9         108         108         85 void std::uninitialized_fill_n<_loop_spec_thread*, unsigned int, _loop_spec_thread>(_loop_spec_thread*, unsigned int, _loop_spec_thread const&) 
  0.4            1            9         108         642         85 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_insert_(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*, std::pair<unsigned long const, int> const&) 
  0.4            3            9         670        1340         14 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_Rb_tree_impl<std::less<void*>, false>::_Rb_tree_impl(std::less<void*> const&, std::allocator<std::_Rb_tree_node<void*> > const&) 
  0.4        0.508            8         108         108         80 void std::__uninitialized_fill_n<false>::uninitialized_fill_n<_loop_spec_thread*, unsigned int, _loop_spec_thread>(_loop_spec_thread*, unsigned int, _loop_spec_thread const&) 
  0.3            2            6         797         428          9 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_erase(std::_Rb_tree_node<void*>*) 
  0.3            2            6         690         690         10 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_Rb_tree_impl<std::less<void*>, false>::~_Rb_tree_impl() 
  0.2        0.712            5         108         216         53 _loop_spec_thread::_loop_spec_thread() 
  0.2            1            5         108         432         52 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_create_node(std::pair<unsigned long const, int> const&) 
  0.2        0.042            5           1           1       5508 std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::clear() 
  0.2        0.007            5           1           2       5466 std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::_M_erase_at_end(_loop_spec_thread*) 
  0.2        0.889            4         216         216         23 std::set<void*, std::less<void*>, std::allocator<void*> >::set() 
  0.2            4            4        2280           0          2 std::_Select1st<std::pair<unsigned long const, int> >::operator()(std::pair<unsigned long const, int> const&) const 
  0.2        0.867            4         104         312         43 std::vector<int, std::allocator<int> >::~vector() 
  0.2        0.829            4         103         309         42 std::vector<void*, std::allocator<void*> >::~vector() 
  0.2            2            4         690         690          6 std::allocator<std::_Rb_tree_node<void*> >::~allocator() 
  0.2        0.923            4         216         216         19 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_Rb_tree() 
  0.2            1            4         107         428         38 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_destroy_node(std::_Rb_tree_node<void*>*) 
  0.2            2            3         670         670          6 std::allocator<std::_Rb_tree_node<void*> >::allocator(std::allocator<std::_Rb_tree_node<void*> > const&) 
  0.1            1            3         216         432         15 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_Rb_tree_impl<std::less<void*>, false>::_Rb_tree_impl() 
  0.1            2            2        1373           0          2 std::less<unsigned long>::operator()(unsigned long const&, unsigned long const&) const 
  0.1            2            2        1258           0          2 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_value(std::_Rb_tree_node<std::pair<unsigned long const, int> > const*) 
  0.1        0.365            2         100         100         24 std::set<int, std::less<int>, std::allocator<int> >::~set() 
  0.1            2            2        1190           0          2 std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::operator[](unsigned int) 
  0.1        0.935            2         100         300         23 void std::fill<_loop_spec_thread*, _loop_spec_thread>(_loop_spec_thread*, _loop_spec_thread*, _loop_spec_thread const&) 
  0.1        0.636            2         103         206         22 std::_Vector_base<void*, std::allocator<void*> >::~_Vector_base() 
  0.1        0.662            2         104         208         22 std::_Vector_base<int, std::allocator<int> >::~_Vector_base() 
  0.1            2            2         994           0          2 std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::size() const 
  0.1         0.75            2         100         300         20 std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::~_Rb_tree() 
  0.1            1            1         335         335          6 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::end() 
  0.1        0.817            1         118         236         15 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::get_allocator() const 
  0.1            1            1         886           0          2 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_Rb_tree_impl<std::less<void*>, false>::_M_initialize() 
  0.1        0.103            1           2           3        816 std::vector<void*, std::allocator<void*> >::push_back(void* const&) 
  0.1        0.088            1           2           3        792 std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::push_back(void* (* const&)(void*)) 
  0.1            1            1         786           0          2 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_left(std::_Rb_tree_node_base*) 
  0.1        0.671            1         114         228         13 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::get_allocator() const 
  0.1            1            1         764           0          2 std::_Rb_tree_iterator<std::pair<unsigned long const, int> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<unsigned long const, int> >*) 
  0.1            1            1         784           0          2 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_get_Node_allocator() const 
  0.1        0.427            1           1          14       1471 std::vector<void*, std::allocator<void*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >, void* const&) 
  0.1        0.702            1         119         119         12 std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::end() 
  0.1         0.39            1           1          14       1438 std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_insert_aux(__gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > >, void* (* const&)(void*)) 
  0.1        0.918            1         216         216          6 std::allocator<std::_Rb_tree_node<void*> >::allocator() 
  0.1         0.34            1           2          14        684 std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) 
  0.1            1            1         690           0          2 __gnu_cxx::new_allocator<std::_Rb_tree_node<void*> >::~new_allocator() 
  0.1            1            1         690           0          2 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_begin() 
